tanggal,temperatur_rata,kelembapan_rata,curah_hujan,lamanya_penyinaran_matahari,kecepatan_angin_rata,cuaca
2022-03-30,28.4,76.0,0.0,4.1,1.0,Cerah
2022-03-31,28.0,84.0,0.0,0.8,1.0,Cerah
2022-04-01,27.7,82.0,15.0,4.1,1.0,Hujan Ringan
2022-04-02,27.7,81.0,0.4,0.0,2.0,Hujan Ringan
2022-04-03,26.1,85.0,3.4,5.9,2.0,Hujan Ringan
2022-04-04,28.6,77.0,2.1,4.1,2.0,Hujan Ringan
2022-04-05,27.3,82.0,3.4,7.9,1.0,Hujan Ringan
2022-04-06,27.5,80.0,38.7,3.5,2.0,Hujan Sedang
2022-04-07,28.0,80.0,3.4,9.3,1.0,Hujan Ringan
2022-04-08,27.2,82.0,9.0,5.4,1.0,Hujan Ringan
2022-04-09,27.9,80.0,14.7,5.0,1.0,Hujan Ringan
2022-04-10,28.3,78.0,3.4,6.2,0.0,Hujan Ringan
2022-04-11,28.2,80.0,0.4,5.7,1.0,Hujan Ringan
2022-04-12,27.4,85.0,12.1,4.2,1.0,Hujan Ringan
2022-04-13,28.5,81.0,2.1,4.1,1.0,Hujan Ringan
2022-04-14,28.2,79.0,1.3,7.4,2.0,Hujan Ringan
2022-04-15,28.9,78.0,0.0,7.1,1.0,Cerah
2022-04-16,28.5,78.0,3.4,6.8,1.0,Hujan Ringan
2022-04-17,29.0,80.0,3.4,6.2,2.0,Hujan Ringan
2022-04-18,28.7,84.0,2.6,6.2,1.0,Hujan Ringan
2022-04-19,27.3,86.0,3.2,5.4,1.0,Hujan Ringan
2022-04-20,27.8,83.0,18.3,5.2,2.0,Hujan Ringan
2022-04-21,26.4,89.0,1.0,6.2,1.0,Hujan Ringan
2022-04-22,25.5,95.0,2.2,0.2,1.0,Hujan Ringan
2022-04-23,27.5,85.0,39.7,0.9,1.0,Hujan Sedang
2022-04-24,28.7,77.0,0.4,5.9,1.0,Hujan Ringan
2022-04-25,28.4,81.0,3.4,6.8,1.0,Hujan Ringan
2022-04-26,28.3,83.0,30.8,8.1,2.0,Hujan Sedang
2022-04-27,27.1,85.0,0.0,8.1,1.0,Cerah
2022-04-28,26.6,85.0,21.7,1.3,2.0,Hujan Sedang
2022-04-29,28.2,83.0,3.4,2.5,2.0,Hujan Ringan
2022-04-30,26.1,90.0,3.4,6.3,1.0,Hujan Ringan
2022-05-01,28.3,84.0,37.7,2.6,1.0,Hujan Sedang
2022-05-02,27.2,87.0,0.2,3.4,1.0,Hujan Ringan
2022-05-03,28.1,81.0,32.3,3.8,1.0,Hujan Sedang
2022-05-04,28.5,84.0,0.0,4.8,2.0,Cerah
2022-05-05,28.6,77.0,3.4,3.3,1.0,Hujan Ringan
2022-05-06,29.7,76.0,3.4,7.1,2.0,Hujan Ringan
2022-05-07,28.7,81.0,3.4,8.5,1.0,Hujan Ringan
2022-05-08,29.3,76.0,3.4,5.1,2.0,Hujan Ringan
2022-05-09,29.1,78.0,3.4,9.3,2.0,Hujan Ringan
2022-05-10,29.9,75.0,0.8,2.3,1.0,Hujan Ringan
2022-05-11,28.0,84.0,4.2,5.5,1.0,Hujan Ringan
2022-05-12,29.0,79.0,3.4,3.5,2.0,Hujan Ringan
2022-05-13,29.3,76.0,3.4,5.5,1.0,Hujan Ringan
2022-05-14,28.6,82.0,3.4,7.9,1.0,Hujan Ringan
2022-05-15,28.2,83.0,2.5,3.0,1.0,Hujan Ringan
2022-05-16,27.7,84.0,10.7,6.1,1.0,Hujan Ringan
2022-05-17,28.7,84.0,30.8,5.8,1.0,Hujan Sedang
2022-05-18,27.3,87.0,0.3,2.5,1.0,Hujan Ringan
2022-05-19,27.2,88.0,43.2,5.1,1.0,Hujan Sedang
2022-05-20,26.9,87.0,4.2,3.0,1.0,Hujan Ringan
2022-05-21,27.3,84.0,5.5,3.2,0.0,Hujan Ringan
2022-05-22,27.7,81.0,3.4,2.1,1.0,Hujan Ringan
2022-05-23,28.7,79.0,3.4,0.4,2.0,Hujan Ringan
2022-05-24,29.4,78.0,0.0,5.8,2.0,Cerah
2022-05-25,27.4,85.0,0.0,7.8,1.0,Cerah
2022-05-26,27.2,84.0,1.9,2.1,1.0,Hujan Ringan
2022-05-27,28.4,82.0,3.4,0.6,1.0,Hujan Ringan
2022-05-28,25.1,90.0,37.5,7.1,0.0,Hujan Sedang
2022-05-29,26.7,85.0,26.0,0.4,1.0,Hujan Sedang
2022-05-30,26.2,87.0,0.1,5.1,1.0,Hujan Ringan
2022-05-31,26.1,86.0,0.2,0.9,2.0,Hujan Ringan
2022-06-01,27.4,83.0,11.5,4.7,1.0,Hujan Ringan
2022-06-02,27.5,86.0,3.4,7.6,1.0,Hujan Ringan
2022-06-03,27.4,82.0,24.3,5.8,0.0,Hujan Sedang
